"id,""name"",""subscription_fee"",""installation_fee"""
"__export__.pam_customer_classification_1_5cf32ead,""Sosial Umum"",""14300.0"",""440000.0"""
"__export__.pam_customer_classification_2_1e67d86f,""Sosial Khusus"",""14300.0"",""1100000.0"""
"__export__.pam_customer_classification_3_a8b9002e,""Rumah Tangga (R1)"",""14300.0"",""440000.0"""
"__export__.pam_customer_classification_4_a83eebb8,""Rumah Tangga (R2)"",""14300.0"",""440000.0"""
"__export__.pam_customer_classification_5_62ac656d,""Rumah Tangga (R3)"",""14300.0"",""1236000.0"""
"__export__.pam_customer_classification_6_fc8e7997,""Rumah Tangga (R4)"",""14300.0"",""1236000.0"""
"__export__.pam_customer_classification_7_0e1daf9a,""Rumah Tangga (R5)"",""14300.0"",""1236000.0"""
"__export__.pam_customer_classification_8_1b273f65,""Rumah Tangga (R6)"",""14300.0"",""1236000.0"""
"__export__.pam_customer_classification_9_5643a431,""Rumah Tangga (R7)"",""14300.0"",""1236000.0"""
"__export__.pam_customer_classification_10_f1686f59,""Rumah Tangga (R8)"",""14300.0"",""1236000.0"""
"__export__.pam_customer_classification_11_a5503fc5,""Instansi Pemerintah"",""14300.0"",""1760000.0"""
"__export__.pam_customer_classification_12_de318dd6,""Niaga (N1)"",""14300.0"",""2750000.0"""
"__export__.pam_customer_classification_13_716e4d18,""Niaga (N2)"",""14300.0"",""2750000.0"""
"__export__.pam_customer_classification_14_aca89f28,""Niaga (N3)"",""14300.0"",""3850000.0"""
"__export__.pam_customer_classification_15_dd0a1c3e,""Niaga (N4)"",""14300.0"",""3850000.0"""
"__export__.pam_customer_classification_16_c198491d,""Industri (I1)"",""32400.0"",""3300000.0"""
"__export__.pam_customer_classification_17_6d4ce674,""Industri (I2)"",""32400.0"",""3300000.0"""
